230進んで高さ120でジャンプしてから520進んで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 120 ACTION move VALUE 520
325歩進んで岩を跳んで375歩進む	REASON stone ACTION move VALUE 325 ACTION jump VALUE 50 ACTION move VALUE 375
145歩進んで跳び、135歩進んで跳び、315歩進む	REASON stone ACTION move VALUE 145 ACTION jump VALUE 50 ACTION move VALUE 135 ACTION jump VALUE 50 ACTION move VALUE 315
240進んで穴をジャンプ、410進む	REASON hole ACTION move VALUE 240 ACTION jump VALUE 50 ACTION move VALUE 410
335進んで岩をジャンプ、365前進	REASON stone ACTION move VALUE 335 ACTION jump VALUE 50 ACTION move VALUE 365
155進んでジャンプ、145進んでジャンプ、315進む	REASON stone ACTION move VALUE 155 ACTION jump VALUE 50 ACTION move VALUE 145 ACTION jump VALUE 50 ACTION move VALUE 315
250進んで大穴ジャンプ、400進む	REASON hole ACTION move VALUE 250 ACTION jump VALUE 50 ACTION move VALUE 400
345進んで岩をジャンプしてから355進む	REASON stone ACTION move VALUE 345 ACTION jump VALUE 50 ACTION move VALUE 355
115歩進んでジャンプ、115歩進んでジャンプ、395歩進む	REASON stone ACTION move VALUE 115 ACTION jump VALUE 50 ACTION move VALUE 115 ACTION jump VALUE 50 ACTION move VALUE 395
140進んで大穴をジャンプ、520進む	REASON hole ACTION move VALUE 140 ACTION jump VALUE 50 ACTION move VALUE 520
200進んで岩をジャンプして500進む	REASON stone ACTION move VALUE 200 ACTION jump VALUE 50 ACTION move VALUE 500
100進んでジャンプ、100進んでジャンプ、300進む	REASON stone ACTION move VALUE 100 ACTION jump VALUE 50 ACTION move VALUE 100 ACTION jump VALUE 50 ACTION move VALUE 300
150進んで穴をジャンプして450進む	REASON hole ACTION move VALUE 150 ACTION jump VALUE 50 ACTION move VALUE 450
250進んで石をジャンプして400進む	REASON stone ACTION move VALUE 250 ACTION jump VALUE 50 ACTION move VALUE 400
120進んでジャンプ、120進んでジャンプ、350進む	REASON stone ACTION move VALUE 120 ACTION jump VALUE 50 ACTION move VALUE 120 ACTION jump VALUE 50 ACTION move VALUE 350
180進んで大穴ジャンプして480進む	REASON hole ACTION move VALUE 180 ACTION jump VALUE 50 ACTION move VALUE 480
高さ120でジャンプして	REASON stone ACTION jump VALUE 120
高さ120で岩を飛び越えて	REASON stone ACTION jump VALUE 120
ジャンプ力120で岩を跳ぶ	REASON stone ACTION jump VALUE 120
高さ150で大穴をジャンプして	REASON hole ACTION jump VALUE 150
120の高さでジャンプ	REASON stone ACTION jump VALUE 120
高さ120で2回ジャンプする	REASON stone ACTION jump VALUE 120 ACTION jump VALUE 120
150の高さで穴を飛び越えて	REASON hole ACTION jump VALUE 150
高さ120で岩を越える	REASON stone ACTION jump VALUE 120
230進んでジャンプしてから520進んで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 50 ACTION move VALUE 520
130進んで120ジャンプ、150進んで120ジャンプ、最後に進んで	REASON stone ACTION move VALUE 130 ACTION jump VALUE 120 ACTION move VALUE 150 ACTION jump VALUE 120
200進んで150ジャンプしてから	REASON hole ACTION move VALUE 200 ACTION jump VALUE 150
300進んで岩を飛び越えて	REASON stone ACTION move VALUE 300 ACTION jump VALUE 50
進んで120ジャンプして200歩進んで120ジャンプして最後に200歩進んで	REASON stone ACTION jump VALUE 120 ACTION move VALUE 200 ACTION jump VALUE 120 ACTION move VALUE 200
150進んで150の高さで大穴を飛び越えて	REASON hole ACTION move VALUE 150 ACTION jump VALUE 150
前進して高さ120まで大ジャンプして450前進する	REASON stone ACTION jump VALUE 120 ACTION move VALUE 450
120進んで120飛んで、160進んで120飛んで	REASON stone ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 160 ACTION jump VALUE 120
180進んで150の大ジャンプをして	REASON hole ACTION move VALUE 180 ACTION jump VALUE 150
歩進んでから120ジャンプして500歩進む	REASON stone ACTION jump VALUE 120 ACTION move VALUE 500
140進んで120跳ねて、140進んで120跳ねて	REASON stone ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 140 ACTION jump VALUE 120
前進して150跳び越えて440前進	REASON hole ACTION jump VALUE 150 ACTION move VALUE 440
240進んで120跳んで	REASON stone ACTION move VALUE 240 ACTION jump VALUE 120
110進んで120ジャンプ、170進んで120ジャンプ	REASON stone ACTION move VALUE 110 ACTION jump VALUE 120 ACTION move VALUE 170 ACTION jump VALUE 120
190進んで150ジャンプして	REASON hole ACTION move VALUE 190 ACTION jump VALUE 150
歩進んで120の高さでジャンプし480歩進む	REASON stone ACTION jump VALUE 120 ACTION move VALUE 480
125進んで120ジャンプ、145進んで120ジャンプ	REASON stone ACTION move VALUE 125 ACTION jump VALUE 120 ACTION move VALUE 145 ACTION jump VALUE 120
170進んで150ジャンプ	REASON hole ACTION move VALUE 170 ACTION jump VALUE 150
280進んで120ジャンプして	REASON stone ACTION move VALUE 280 ACTION jump VALUE 120
135進んで120飛んで135進んで120飛んで	REASON stone ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 135 ACTION jump VALUE 120
225進んで150ジャンプ	REASON hole ACTION move VALUE 225 ACTION jump VALUE 150
前進し120ジャンプしてから430前進	REASON stone ACTION jump VALUE 120 ACTION move VALUE 430
105進んで120ジャンプ、155進んで120ジャンプ	REASON stone ACTION move VALUE 105 ACTION jump VALUE 120 ACTION move VALUE 155 ACTION jump VALUE 120
160進んで150ジャンプ	REASON hole ACTION move VALUE 160 ACTION jump VALUE 150
歩進んで120ジャンプして410歩進む	REASON stone ACTION jump VALUE 120 ACTION move VALUE 410
115進んで120ジャンプ、165進んで120ジャンプ	REASON stone ACTION move VALUE 115 ACTION jump VALUE 120 ACTION move VALUE 165 ACTION jump VALUE 120
205進んで150ジャンプして	REASON hole ACTION move VALUE 205 ACTION jump VALUE 150
310進んで120ジャンプして	REASON stone ACTION move VALUE 310 ACTION jump VALUE 120
140前進して120ジャンプ、160前進して120ジャンプ	REASON stone ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 160 ACTION jump VALUE 120
155進んで150ジャンプ	REASON hole ACTION move VALUE 155 ACTION jump VALUE 150
320進んで120ジャンプ	REASON stone ACTION move VALUE 320 ACTION jump VALUE 120
145進んで120ジャンプ、125進んで120ジャンプ	REASON stone ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 125 ACTION jump VALUE 120
215進んで150ジャンプ	REASON hole ACTION move VALUE 215 ACTION jump VALUE 150
330歩進んで120の高さで跳んで	REASON stone ACTION move VALUE 330 ACTION jump VALUE 120
150歩進んで120跳び、130歩進んで120跳び	REASON stone ACTION move VALUE 150 ACTION jump VALUE 120 ACTION move VALUE 130 ACTION jump VALUE 120
235進んで150ジャンプ	REASON hole ACTION move VALUE 235 ACTION jump VALUE 150
340進んで120ジャンプ	REASON stone ACTION move VALUE 340 ACTION jump VALUE 120
160進んで120ジャンプ、140進んで120ジャンプ	REASON stone ACTION move VALUE 160 ACTION jump VALUE 120 ACTION move VALUE 140 ACTION jump VALUE 120
245進んで150ジャンプ	REASON hole ACTION move VALUE 245 ACTION jump VALUE 150
350進んで120ジャンプしてから	REASON stone ACTION move VALUE 350 ACTION jump VALUE 120
110歩進んで120ジャンプ、110歩進んで120ジャンプ	REASON stone ACTION move VALUE 110 ACTION jump VALUE 120 ACTION move VALUE 110 ACTION jump VALUE 120
145進んで150ジャンプ	REASON hole ACTION move VALUE 145 ACTION jump VALUE 150
235進んで高さ120でジャンプしてから	REASON stone ACTION move VALUE 235 ACTION jump VALUE 120
135進んで120ジャンプ、145進んで120ジャンプ	REASON stone ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 145 ACTION jump VALUE 120
195進んで150ジャンプしてから	REASON hole ACTION move VALUE 195 ACTION jump VALUE 150
305進んで120の高さで岩を飛び越えて	REASON stone ACTION move VALUE 305 ACTION jump VALUE 120
105歩進んで120ジャンプして205歩進んで120ジャンプして	REASON stone ACTION move VALUE 105 ACTION jump VALUE 120 ACTION move VALUE 205 ACTION jump VALUE 120
155進んで150の高さで大穴を飛び越えて	REASON hole ACTION move VALUE 155 ACTION jump VALUE 150
255前進して高さ120まで大ジャンプして	REASON stone ACTION move VALUE 255 ACTION jump VALUE 120
125進んで120飛んで、155進んで120飛んで	REASON stone ACTION move VALUE 125 ACTION jump VALUE 120 ACTION move VALUE 155 ACTION jump VALUE 120
185進んで150の大ジャンプをしてから	REASON hole ACTION move VALUE 185 ACTION jump VALUE 150
225歩進んでから120ジャンプして	REASON stone ACTION move VALUE 225 ACTION jump VALUE 120
145進んで120跳ねて、135進んで120跳ねて	REASON stone ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 135 ACTION jump VALUE 120
215前進して150跳び越えて	REASON hole ACTION move VALUE 215 ACTION jump VALUE 150
245進んで120跳んで	REASON stone ACTION move VALUE 245 ACTION jump VALUE 120
115進んで120ジャンプ、165進んで120ジャンプ	REASON stone ACTION move VALUE 115 ACTION jump VALUE 120 ACTION move VALUE 165 ACTION jump VALUE 120
195進んで150ジャンプして	REASON hole ACTION move VALUE 195 ACTION jump VALUE 150
265歩進んで120の高さでジャンプし	REASON stone ACTION move VALUE 265 ACTION jump VALUE 120
120進んで120ジャンプ、150進んで120ジャンプ	REASON stone ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 150 ACTION jump VALUE 120
175進んで150ジャンプ	REASON hole ACTION move VALUE 175 ACTION jump VALUE 150
275進んで120ジャンプして	REASON stone ACTION move VALUE 275 ACTION jump VALUE 120
130進んで120飛んで140進んで120飛んで	REASON stone ACTION move VALUE 130 ACTION jump VALUE 120 ACTION move VALUE 140 ACTION jump VALUE 120
220進んで150ジャンプ	REASON hole ACTION move VALUE 220 ACTION jump VALUE 150
265前進し120ジャンプしてから	REASON stone ACTION move VALUE 265 ACTION jump VALUE 120
100進んで120ジャンプ、160進んで120ジャンプ	REASON stone ACTION move VALUE 100 ACTION jump VALUE 120 ACTION move VALUE 160 ACTION jump VALUE 120
165進んで150ジャンプ	REASON hole ACTION move VALUE 165 ACTION jump VALUE 150
285歩進んで120ジャンプして	REASON stone ACTION move VALUE 285 ACTION jump VALUE 120
120進んで120ジャンプ、160進んで120ジャンプ	REASON stone ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 160 ACTION jump VALUE 120
210進んで150ジャンプして	REASON hole ACTION move VALUE 210 ACTION jump VALUE 150
305進んで120ジャンプして	REASON stone ACTION move VALUE 305 ACTION jump VALUE 120
135前進して120ジャンプ、165前進して120ジャンプ	REASON stone ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 165 ACTION jump VALUE 120
150進んで150ジャンプ	REASON hole ACTION move VALUE 150 ACTION jump VALUE 150
315進んで120ジャンプ	REASON stone ACTION move VALUE 315 ACTION jump VALUE 120
140進んで120ジャンプ、130進んで120ジャンプ	REASON stone ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 130 ACTION jump VALUE 120
220進んで150ジャンプ	REASON hole ACTION move VALUE 220 ACTION jump VALUE 150
325歩進んで120の高さで跳んで	REASON stone ACTION move VALUE 325 ACTION jump VALUE 120
145歩進んで120跳び、135歩進んで120跳び	REASON stone ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 135 ACTION jump VALUE 120
240進んで150ジャンプ	REASON hole ACTION move VALUE 240 ACTION jump VALUE 150
335進んで120ジャンプ	REASON stone ACTION move VALUE 335 ACTION jump VALUE 120
155進んで120ジャンプ、145進んで120ジャンプ	REASON stone ACTION move VALUE 155 ACTION jump VALUE 120 ACTION move VALUE 145 ACTION jump VALUE 120
250進んで150ジャンプ	REASON hole ACTION move VALUE 250 ACTION jump VALUE 150
345進んで120ジャンプしてから	REASON stone ACTION move VALUE 345 ACTION jump VALUE 120
115歩進んで120ジャンプ、115歩進んで120ジャンプ	REASON stone ACTION move VALUE 115 ACTION jump VALUE 120 ACTION move VALUE 115 ACTION jump VALUE 120
140進んで150ジャンプ	REASON hole ACTION move VALUE 140 ACTION jump VALUE 150
200進んで120ジャンプして	REASON stone ACTION move VALUE 200 ACTION jump VALUE 120
100進んで120ジャンプ、100進んで120ジャンプ	REASON stone ACTION move VALUE 100 ACTION jump VALUE 120 ACTION move VALUE 100 ACTION jump VALUE 120
150進んで150ジャンプして	REASON hole ACTION move VALUE 150 ACTION jump VALUE 150
250進んで120ジャンプして	REASON stone ACTION move VALUE 250 ACTION jump VALUE 120
120進んで120ジャンプ、120進んで120ジャンプ	REASON stone ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 120 ACTION jump VALUE 120
180進んで150ジャンプして	REASON hole ACTION move VALUE 180 ACTION jump VALUE 150
