stage1 岩の手前まで230進んで90ジャンプして406歩ゴールまで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 90 ACTION move VALUE 406
stage1 岩の手前まで246進んで75ジャンプして340歩ゴールまで	REASON stone ACTION move VALUE 246 ACTION jump VALUE 75 ACTION move VALUE 340
stage1 246進んで93の高さでジャンプして418歩すすむ	REASON stone ACTION move VALUE 246 ACTION jump VALUE 93 ACTION move VALUE 418
stage2 118移動して65ジャンプ、81移動して72ジャンプ、最後に304移動	REASON stone ACTION move VALUE 118 ACTION jump VALUE 65 ACTION move VALUE 81 ACTION jump VALUE 72 ACTION move VALUE 304
stage3 202歩走って170でとんで118歩すすむ	REASON hole ACTION move VALUE 202 ACTION jump VALUE 170 ACTION move VALUE 118
stage3 194移動して229移動	REASON hole ACTION move VALUE 194 ACTION move VALUE 229
stage2 岩を2回越えて	REASON stone ACTION move VALUE 73 ACTION jump VALUE 30 ACTION move VALUE 180 ACTION jump VALUE 45 ACTION move VALUE 178
stage2 127歩進んで高さ119でジャンプ、208進んで66でジャンプして234進む	REASON stone ACTION move VALUE 127 ACTION jump VALUE 119 ACTION move VALUE 208 ACTION jump VALUE 66 ACTION move VALUE 234
stage3 205歩進んで95高さで穴を越えて434歩ゴールへ	REASON hole ACTION move VALUE 205 ACTION jump VALUE 95 ACTION move VALUE 434
stage2 まず140進んで68ジャンプ、次に43進んで1ジャンプ、284進んでゴール	REASON stone ACTION move VALUE 140 ACTION jump VALUE 68 ACTION move VALUE 43 ACTION jump VALUE 1 ACTION move VALUE 284
stage1 223進んで高さ110でジャンプしてから392進んで	REASON stone ACTION move VALUE 223 ACTION jump VALUE 110 ACTION move VALUE 392
stage1 まず243進んで、174でジャンプして、その後356進んで	REASON stone ACTION move VALUE 243 ACTION jump VALUE 174 ACTION move VALUE 356
stage1 223移動してから高さ123でジャンプし、387移動して	REASON stone ACTION move VALUE 223 ACTION jump VALUE 123 ACTION move VALUE 387
stage2 走ってジャンプを2回して進んで	REASON stone ACTION move VALUE 69 ACTION jump VALUE 24 ACTION move VALUE 99 ACTION jump VALUE 7 ACTION move VALUE 83
stage1 1個の岩を221進んで167ジャンプして438進んで越える	REASON stone ACTION move VALUE 221 ACTION jump VALUE 167 ACTION move VALUE 438
stage2 103進んで138の力でジャンプ、88進んで147の力でジャンプして306進んで	REASON stone ACTION move VALUE 103 ACTION jump VALUE 138 ACTION move VALUE 88 ACTION jump VALUE 147 ACTION move VALUE 306
stage3 184移動して396移動	REASON hole ACTION move VALUE 184 ACTION move VALUE 396
stage3 穴を越えてゴールへ	REASON hole ACTION move VALUE 219 ACTION jump VALUE 48 ACTION move VALUE 163
stage2 岩を2回ジャンプして越えて	REASON stone ACTION move VALUE 83 ACTION jump VALUE 35 ACTION move VALUE 103 ACTION jump VALUE 2 ACTION move VALUE 178
stage2 118進んで81の力でジャンプ、68進んで147の力でジャンプして294進んで	REASON stone ACTION move VALUE 118 ACTION jump VALUE 81 ACTION move VALUE 68 ACTION jump VALUE 147 ACTION move VALUE 294
stage3 203歩進んで175の高さで穴を跳び越えて419歩進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 175 ACTION move VALUE 419
stage3 203移動して31ジャンプ、着地後473移動	REASON hole ACTION move VALUE 203 ACTION jump VALUE 31 ACTION move VALUE 473
stage3 202歩走って12でとんで416歩すすむ	REASON hole ACTION move VALUE 202 ACTION jump VALUE 12 ACTION move VALUE 416
stage2 1つ目の岩まで102進んで64でジャンプ、2つ目まで71進んで123でジャンプして266進んで	REASON stone ACTION move VALUE 102 ACTION jump VALUE 64 ACTION move VALUE 71 ACTION jump VALUE 123 ACTION move VALUE 266
stage3 144進んで高さ124でジャンプして233進む	REASON hole ACTION move VALUE 144 ACTION jump VALUE 124 ACTION move VALUE 233
stage1 246進んで154の高さでジャンプして358歩すすむ	REASON stone ACTION move VALUE 246 ACTION jump VALUE 154 ACTION move VALUE 358
stage3 203歩進んで67高さで穴を越えて469歩ゴールへ	REASON hole ACTION move VALUE 203 ACTION jump VALUE 67 ACTION move VALUE 469
stage2 124歩進んで170で飛んで、28歩進んで149で飛んで325歩すすむ	REASON stone ACTION move VALUE 124 ACTION jump VALUE 170 ACTION move VALUE 28 ACTION jump VALUE 149 ACTION move VALUE 325
stage3 202進んで122進む	REASON hole ACTION move VALUE 202 ACTION move VALUE 122
stage1 まず230進んで、135でジャンプして、その後361進んで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 135 ACTION move VALUE 361
stage1 246歩進んで高さ77でジャンプして382進む	REASON stone ACTION move VALUE 246 ACTION jump VALUE 77 ACTION move VALUE 382
stage2 1つ目の岩まで150進んで85でジャンプ、2つ目まで114進んで120でジャンプして143進んで	REASON stone ACTION move VALUE 150 ACTION jump VALUE 85 ACTION move VALUE 114 ACTION jump VALUE 120 ACTION move VALUE 143
stage2 石を2個越えてゴールまで	REASON stone ACTION move VALUE 84 ACTION jump VALUE 25 ACTION move VALUE 65 ACTION jump VALUE 45 ACTION move VALUE 235
stage2 104移動して151ジャンプ、152移動して159ジャンプ、208移動	REASON stone ACTION move VALUE 104 ACTION jump VALUE 151 ACTION move VALUE 152 ACTION jump VALUE 159 ACTION move VALUE 208
stage2 まず113進んで60ジャンプ、次に103進んで151ジャンプ、359進んでゴール	REASON stone ACTION move VALUE 113 ACTION jump VALUE 60 ACTION move VALUE 103 ACTION jump VALUE 151 ACTION move VALUE 359
stage2 まず111進んで56ジャンプ、次に171進んで106ジャンプ、115進んでゴール	REASON stone ACTION move VALUE 111 ACTION jump VALUE 56 ACTION move VALUE 171 ACTION jump VALUE 106 ACTION move VALUE 115
stage1 スタートから228進んで高さ81でジャンプして410進んでゴール	REASON stone ACTION move VALUE 228 ACTION jump VALUE 81 ACTION move VALUE 410
stage3 大きな穴を跳び越えて	REASON hole ACTION move VALUE 291 ACTION jump VALUE 117 ACTION move VALUE 117
stage2 134歩進んで高さ59でジャンプ、続けて27進んで156でジャンプして291進む	REASON stone ACTION move VALUE 134 ACTION jump VALUE 59 ACTION move VALUE 27 ACTION jump VALUE 156 ACTION move VALUE 291
stage2 103歩進んで高さ166でジャンプ、続けて55進んで156でジャンプして330進む	REASON stone ACTION move VALUE 103 ACTION jump VALUE 166 ACTION move VALUE 55 ACTION jump VALUE 156 ACTION move VALUE 330
stage3 スタートから208進んで高さ47でジャンプして450進んでゴール	REASON hole ACTION move VALUE 208 ACTION jump VALUE 47 ACTION move VALUE 450
stage3 203進んで高さ53でジャンプして465進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 53 ACTION move VALUE 465
stage2 232移動して73ジャンプ、81移動して121ジャンプ、288移動	REASON stone ACTION move VALUE 232 ACTION jump VALUE 73 ACTION move VALUE 81 ACTION jump VALUE 121 ACTION move VALUE 288
stage2 岩を2回ジャンプして越えて	REASON stone ACTION move VALUE 155 ACTION jump VALUE 41 ACTION move VALUE 89 ACTION jump VALUE 5 ACTION move VALUE 231
stage2 116歩進んで高さ80でジャンプ、39進んで11でジャンプして255進む	REASON stone ACTION move VALUE 116 ACTION jump VALUE 80 ACTION move VALUE 39 ACTION jump VALUE 11 ACTION move VALUE 255
stage2 岩を2回ジャンプして越えて	REASON stone ACTION move VALUE 75 ACTION jump VALUE 25 ACTION move VALUE 171 ACTION jump VALUE 31 ACTION move VALUE 64
stage1 262歩走って160高さで跳んで149歩進む	REASON stone ACTION move VALUE 262 ACTION jump VALUE 160 ACTION move VALUE 149
stage2 1つ目の岩まで131進んで57でジャンプ、2つ目まで43進んで44でジャンプして318進んで	REASON stone ACTION move VALUE 131 ACTION jump VALUE 57 ACTION move VALUE 43 ACTION jump VALUE 44 ACTION move VALUE 318
stage3 208歩進んで50の高さで穴を跳び越えて436歩進む	REASON hole ACTION move VALUE 208 ACTION jump VALUE 50 ACTION move VALUE 436
stage1 228歩進んで高さ179でジャンプして429進む	REASON stone ACTION move VALUE 228 ACTION jump VALUE 179 ACTION move VALUE 429
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 95 ACTION jump VALUE 141 ACTION move VALUE 110
stage2 最初に127進んで77ジャンプ、次38進んで161ジャンプ、最後340進む	REASON stone ACTION move VALUE 127 ACTION jump VALUE 77 ACTION move VALUE 38 ACTION jump VALUE 161 ACTION move VALUE 340
stage2 まず127進んで133の高さでジャンプ、次に28進んで152でジャンプし287進んでゴール	REASON stone ACTION move VALUE 127 ACTION jump VALUE 133 ACTION move VALUE 28 ACTION jump VALUE 152 ACTION move VALUE 287
stage1 岩を飛び越えて	REASON stone ACTION move VALUE 79 ACTION jump VALUE 35 ACTION move VALUE 241
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 36 ACTION jump VALUE 100 ACTION move VALUE 136
stage2 143歩進んで178で飛んで、52歩進んで129で飛んで250歩すすむ	REASON stone ACTION move VALUE 143 ACTION jump VALUE 178 ACTION move VALUE 52 ACTION jump VALUE 129 ACTION move VALUE 250
stage3 穴を越えてゴールへ	REASON hole ACTION move VALUE 315 ACTION jump VALUE 117 ACTION move VALUE 114
stage3 大きな穴を飛び越えて	REASON hole ACTION move VALUE 99 ACTION jump VALUE 30 ACTION move VALUE 120
stage3 207歩走って85でとんで420歩すすむ	REASON hole ACTION move VALUE 207 ACTION jump VALUE 85 ACTION move VALUE 420
stage1 1個の岩を225進んで119ジャンプして391進んで越える	REASON stone ACTION move VALUE 225 ACTION jump VALUE 119 ACTION move VALUE 391
stage2 105移動して150ジャンプ、77移動して167ジャンプ、最後に278移動	REASON stone ACTION move VALUE 105 ACTION jump VALUE 150 ACTION move VALUE 77 ACTION jump VALUE 167 ACTION move VALUE 278
stage1 ちょうど242進んでから72でジャンプして413進んでね	REASON stone ACTION move VALUE 242 ACTION jump VALUE 72 ACTION move VALUE 413
stage2 126歩進んで143で飛んで、67歩進んで110で飛んで293歩すすむ	REASON stone ACTION move VALUE 126 ACTION jump VALUE 143 ACTION move VALUE 67 ACTION jump VALUE 110 ACTION move VALUE 293
stage2 まず103進んで165の高さでジャンプ、次に53進んで137でジャンプし284進んでゴール	REASON stone ACTION move VALUE 103 ACTION jump VALUE 165 ACTION move VALUE 53 ACTION jump VALUE 137 ACTION move VALUE 284
stage3 206歩進んで71の高さでジャンプして116歩	REASON hole ACTION move VALUE 206 ACTION jump VALUE 71 ACTION move VALUE 116
stage2 2回ジャンプして進んで	REASON stone ACTION move VALUE 227 ACTION jump VALUE 15 ACTION move VALUE 84 ACTION jump VALUE 45 ACTION move VALUE 277
stage3 209歩走って148でとんで129歩すすむ	REASON hole ACTION move VALUE 209 ACTION jump VALUE 148 ACTION move VALUE 129
stage3 205歩走って148でとんで177歩すすむ	REASON hole ACTION move VALUE 205 ACTION jump VALUE 148 ACTION move VALUE 177
stage2 両方の岩を越えて	REASON stone ACTION move VALUE 63 ACTION jump VALUE 21 ACTION move VALUE 135 ACTION jump VALUE 3 ACTION move VALUE 194
stage1 287歩進んで高さ129でジャンプして280進む	REASON stone ACTION move VALUE 287 ACTION jump VALUE 129 ACTION move VALUE 280
stage3 324進んで高さ147でジャンプして125進む	REASON hole ACTION move VALUE 324 ACTION jump VALUE 147 ACTION move VALUE 125
stage3 207進んで高さ121でジャンプして233進む	REASON hole ACTION move VALUE 207 ACTION jump VALUE 121 ACTION move VALUE 233
stage2 まず100進んで27ジャンプ、次に33進んで109ジャンプ、377進んでゴール	REASON stone ACTION move VALUE 100 ACTION jump VALUE 27 ACTION move VALUE 33 ACTION jump VALUE 109 ACTION move VALUE 377
stage1 242移動してから高さ130でジャンプし、368移動して	REASON stone ACTION move VALUE 242 ACTION jump VALUE 130 ACTION move VALUE 368
stage2 150移動して136ジャンプ、40移動して143ジャンプ、最後に258移動	REASON stone ACTION move VALUE 150 ACTION jump VALUE 136 ACTION move VALUE 40 ACTION jump VALUE 143 ACTION move VALUE 258
stage2 149進んで154の力でジャンプ、41進んで68の力でジャンプして256進んで	REASON stone ACTION move VALUE 149 ACTION jump VALUE 154 ACTION move VALUE 41 ACTION jump VALUE 68 ACTION move VALUE 256
stage2 139歩走って126高さで跳んで48歩進んで136高さで跳んで307歩ゴール	REASON stone ACTION move VALUE 139 ACTION jump VALUE 126 ACTION move VALUE 48 ACTION jump VALUE 136 ACTION move VALUE 307
stage2 211歩進んで高さ143でジャンプ、79進んで88でジャンプして191進む	REASON stone ACTION move VALUE 211 ACTION jump VALUE 143 ACTION move VALUE 79 ACTION jump VALUE 88 ACTION move VALUE 191
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 302 ACTION jump VALUE 19 ACTION move VALUE 121
stage3 スタートから205進んで高さ67でジャンプして428進んでゴール	REASON hole ACTION move VALUE 205 ACTION jump VALUE 67 ACTION move VALUE 428
stage2 2つの石をジャンプして越えて	REASON stone ACTION move VALUE 69 ACTION jump VALUE 5 ACTION move VALUE 122 ACTION jump VALUE 17 ACTION move VALUE 291
stage3 大きな穴を跳び越えて	REASON hole ACTION move VALUE 67 ACTION jump VALUE 156 ACTION move VALUE 52
stage1 スタートから238進んで高さ87でジャンプして397進んでゴール	REASON stone ACTION move VALUE 238 ACTION jump VALUE 87 ACTION move VALUE 397
stage1 1個の岩を238進んで59ジャンプして389進んで越える	REASON stone ACTION move VALUE 238 ACTION jump VALUE 59 ACTION move VALUE 389
stage1 石を跳び越えて	REASON stone ACTION move VALUE 58 ACTION jump VALUE 15 ACTION move VALUE 119
stage3 穴の向こうまで跳んで	REASON hole ACTION move VALUE 35 ACTION jump VALUE 72 ACTION move VALUE 172
stage3 202歩走って124でとんで346歩すすむ	REASON hole ACTION move VALUE 202 ACTION jump VALUE 124 ACTION move VALUE 346
stage1 135歩走って63高さで跳んで196歩進む	REASON stone ACTION move VALUE 135 ACTION jump VALUE 63 ACTION move VALUE 196
stage3 83歩走って47でとんで314歩すすむ	REASON hole ACTION move VALUE 83 ACTION jump VALUE 47 ACTION move VALUE 314
stage1 1個の岩を223進んで136ジャンプして359進んで越える	REASON stone ACTION move VALUE 223 ACTION jump VALUE 136 ACTION move VALUE 359
stage1 高くジャンプして石を越えてゴール	REASON stone ACTION move VALUE 83 ACTION jump VALUE 6 ACTION move VALUE 170
stage3 204歩走って65でとんで453歩すすむ	REASON hole ACTION move VALUE 204 ACTION jump VALUE 65 ACTION move VALUE 453
stage1 ちょうど249進んでから99でジャンプして422進んでね	REASON stone ACTION move VALUE 249 ACTION jump VALUE 99 ACTION move VALUE 422
stage2 193歩進んで高さ50でジャンプ、127進んで146でジャンプして257進む	REASON stone ACTION move VALUE 193 ACTION jump VALUE 50 ACTION move VALUE 127 ACTION jump VALUE 146 ACTION move VALUE 257
stage3 大きな穴を跳び越えて	REASON hole ACTION move VALUE 90 ACTION jump VALUE 116 ACTION move VALUE 59
stage2 まず244進んで76ジャンプ、次に43進んで130ジャンプ、288進んでゴール	REASON stone ACTION move VALUE 244 ACTION jump VALUE 76 ACTION move VALUE 43 ACTION jump VALUE 130 ACTION move VALUE 288
stage3 スタートから205進んで高さ174でジャンプして441進んでゴール	REASON hole ACTION move VALUE 205 ACTION jump VALUE 174 ACTION move VALUE 441
stage1 245歩進んで高さ40でジャンプして125進む	REASON stone ACTION move VALUE 245 ACTION jump VALUE 40 ACTION move VALUE 125
stage2 116歩進んで116で飛んで、79歩進んで164で飛んで262歩すすむ	REASON stone ACTION move VALUE 116 ACTION jump VALUE 116 ACTION move VALUE 79 ACTION jump VALUE 164 ACTION move VALUE 262
stage2 145歩進んで高さ124でジャンプ、130進んで118でジャンプして363進む	REASON stone ACTION move VALUE 145 ACTION jump VALUE 124 ACTION move VALUE 130 ACTION jump VALUE 118 ACTION move VALUE 363
stage3 208進んで272進む	REASON hole ACTION move VALUE 208 ACTION move VALUE 272
stage3 スタートから203進んで高さ158でジャンプして432進んでゴール	REASON hole ACTION move VALUE 203 ACTION jump VALUE 158 ACTION move VALUE 432
stage3 穴の手前まで208進んで120の高さでジャンプして向こうまで405進んで	REASON hole ACTION move VALUE 208 ACTION jump VALUE 120 ACTION move VALUE 405
stage3 201移動して64ジャンプ、着地後383移動	REASON hole ACTION move VALUE 201 ACTION jump VALUE 64 ACTION move VALUE 383
stage1 スタートから227進んで高さ152でジャンプして360進んでゴール	REASON stone ACTION move VALUE 227 ACTION jump VALUE 152 ACTION move VALUE 360
stage2 まず145進んで170の高さでジャンプ、次に11進んで85でジャンプし274進んでゴール	REASON stone ACTION move VALUE 145 ACTION jump VALUE 170 ACTION move VALUE 11 ACTION jump VALUE 85 ACTION move VALUE 274
stage1 速く走って高くジャンプして	REASON stone ACTION move VALUE 57 ACTION jump VALUE 45 ACTION move VALUE 115
stage3 202進んで96ジャンプしてから421進んで	REASON hole ACTION move VALUE 202 ACTION jump VALUE 96 ACTION move VALUE 421
stage2 141進んで134の力でジャンプ、17進んで73の力でジャンプして326進んで	REASON stone ACTION move VALUE 141 ACTION jump VALUE 134 ACTION move VALUE 17 ACTION jump VALUE 73 ACTION move VALUE 326
stage2 まず112進んで83ジャンプ、次に59進んで95ジャンプ、206進んでゴール	REASON stone ACTION move VALUE 112 ACTION jump VALUE 83 ACTION move VALUE 59 ACTION jump VALUE 95 ACTION move VALUE 206
stage1 うまいことジャンプして岩を越えて	REASON stone ACTION move VALUE 375 ACTION jump VALUE 23 ACTION move VALUE 107
stage2 110歩進んで高さ115でジャンプ、288進んで76でジャンプして393進む	REASON stone ACTION move VALUE 110 ACTION jump VALUE 115 ACTION move VALUE 288 ACTION jump VALUE 76 ACTION move VALUE 393
stage3 202進んで125ジャンプしてから420進んで	REASON hole ACTION move VALUE 202 ACTION jump VALUE 125 ACTION move VALUE 420
stage3 78歩進んで158の高さでジャンプして179歩	REASON hole ACTION move VALUE 78 ACTION jump VALUE 158 ACTION move VALUE 179
stage2 両方の岩を越えて	REASON stone ACTION move VALUE 64 ACTION jump VALUE 36 ACTION move VALUE 126 ACTION jump VALUE 28 ACTION move VALUE 97
stage1 岩をうまく飛び越えてゴールへ	REASON stone ACTION move VALUE 55 ACTION jump VALUE 8 ACTION move VALUE 189
stage2 205移動して83ジャンプ、91移動して68ジャンプ、217移動	REASON stone ACTION move VALUE 205 ACTION jump VALUE 83 ACTION move VALUE 91 ACTION jump VALUE 68 ACTION move VALUE 217
stage3 スタートから202進んで高さ1でジャンプして384進んでゴール	REASON hole ACTION move VALUE 202 ACTION jump VALUE 1 ACTION move VALUE 384
stage1 250歩走って高さ50でとんで406歩進む	REASON stone ACTION move VALUE 250 ACTION jump VALUE 50 ACTION move VALUE 406
stage2 まず109進んで115の高さでジャンプ、次に53進んで94でジャンプし345進んでゴール	REASON stone ACTION move VALUE 109 ACTION jump VALUE 115 ACTION move VALUE 53 ACTION jump VALUE 94 ACTION move VALUE 345
stage2 126歩走って102高さで跳んで50歩進んで178高さで跳んで332歩ゴール	REASON stone ACTION move VALUE 126 ACTION jump VALUE 102 ACTION move VALUE 50 ACTION jump VALUE 178 ACTION move VALUE 332
stage2 120進んで94の力でジャンプ、59進んで137の力でジャンプして320進んで	REASON stone ACTION move VALUE 120 ACTION jump VALUE 94 ACTION move VALUE 59 ACTION jump VALUE 137 ACTION move VALUE 320
stage1 スタートから242進んで高さ147でジャンプして424進んでゴール	REASON stone ACTION move VALUE 242 ACTION jump VALUE 147 ACTION move VALUE 424
stage2 岩を2回越えて	REASON stone ACTION move VALUE 249 ACTION jump VALUE 17 ACTION move VALUE 171 ACTION jump VALUE 38 ACTION move VALUE 198
stage2 まず138進んで15ジャンプ、次に32進んで172ジャンプ、100進んでゴール	REASON stone ACTION move VALUE 138 ACTION jump VALUE 15 ACTION move VALUE 32 ACTION jump VALUE 172 ACTION move VALUE 100
stage1 240歩走って高さ161でとんで384歩進む	REASON stone ACTION move VALUE 240 ACTION jump VALUE 161 ACTION move VALUE 384
stage2 147移動して54ジャンプ、27移動して67ジャンプ、最後に300移動	REASON stone ACTION move VALUE 147 ACTION jump VALUE 54 ACTION move VALUE 27 ACTION jump VALUE 67 ACTION move VALUE 300
stage1 301歩進んで高さ120でジャンプして197進む	REASON stone ACTION move VALUE 301 ACTION jump VALUE 120 ACTION move VALUE 197
stage1 227移動してから高さ137でジャンプし、379移動して	REASON stone ACTION move VALUE 227 ACTION jump VALUE 137 ACTION move VALUE 379
stage1 277進んで127の高さでジャンプして208歩	REASON stone ACTION move VALUE 277 ACTION jump VALUE 127 ACTION move VALUE 208
stage1 うまいことジャンプして岩を越えて	REASON stone ACTION move VALUE 370 ACTION jump VALUE 18 ACTION move VALUE 61
stage2 まず144進んで1ジャンプ、次に50進んで177ジャンプ、277進んでゴール	REASON stone ACTION move VALUE 144 ACTION jump VALUE 1 ACTION move VALUE 50 ACTION jump VALUE 177 ACTION move VALUE 277
stage2 2個の岩を飛び越えてゴールへ	REASON stone ACTION move VALUE 203 ACTION jump VALUE 25 ACTION move VALUE 111 ACTION jump VALUE 24 ACTION move VALUE 77
stage3 304進んで18ジャンプして96進む	REASON hole ACTION move VALUE 304 ACTION jump VALUE 18 ACTION move VALUE 96
stage1 39歩走って82高さで跳んで357歩進む	REASON stone ACTION move VALUE 39 ACTION jump VALUE 82 ACTION move VALUE 357
stage3 穴の手前まで204進んで166の高さでジャンプして向こうまで404進んで	REASON hole ACTION move VALUE 204 ACTION jump VALUE 166 ACTION move VALUE 404
stage1 ちょうど242進んでから75でジャンプして345進んでね	REASON stone ACTION move VALUE 242 ACTION jump VALUE 75 ACTION move VALUE 345
stage3 209進んで70ジャンプしてから450進んで	REASON hole ACTION move VALUE 209 ACTION jump VALUE 70 ACTION move VALUE 450
stage2 260移動して90ジャンプ、86移動して166ジャンプ、100移動	REASON stone ACTION move VALUE 260 ACTION jump VALUE 90 ACTION move VALUE 86 ACTION jump VALUE 166 ACTION move VALUE 100
stage2 最初に142進んで136ジャンプ、次57進んで83ジャンプ、最後307進む	REASON stone ACTION move VALUE 142 ACTION jump VALUE 136 ACTION move VALUE 57 ACTION jump VALUE 83 ACTION move VALUE 307
stage2 1つ目の岩まで147進んで33でジャンプ、2つ目まで30進んで61でジャンプして106進んで	REASON stone ACTION move VALUE 147 ACTION jump VALUE 33 ACTION move VALUE 30 ACTION jump VALUE 61 ACTION move VALUE 106
stage3 209移動して128ジャンプ、着地後397移動	REASON hole ACTION move VALUE 209 ACTION jump VALUE 128 ACTION move VALUE 397
stage2 1つ目の岩まで138進んで96でジャンプ、2つ目まで46進んで125でジャンプして287進んで	REASON stone ACTION move VALUE 138 ACTION jump VALUE 96 ACTION move VALUE 46 ACTION jump VALUE 125 ACTION move VALUE 287
stage1 59歩進んで高さ85でジャンプして123進む	REASON stone ACTION move VALUE 59 ACTION jump VALUE 85 ACTION move VALUE 123
stage2 122歩走って179高さで跳んで32歩進んで129高さで跳んで335歩ゴール	REASON stone ACTION move VALUE 122 ACTION jump VALUE 179 ACTION move VALUE 32 ACTION jump VALUE 129 ACTION move VALUE 335
stage2 まず153進んで87ジャンプ、次に105進んで86ジャンプ、156進んでゴール	REASON stone ACTION move VALUE 153 ACTION jump VALUE 87 ACTION move VALUE 105 ACTION jump VALUE 86 ACTION move VALUE 156
stage1 243進んで16ジャンプして392進む	REASON stone ACTION move VALUE 243 ACTION jump VALUE 16 ACTION move VALUE 392
stage1 岩の手前まで248進んで126ジャンプして413歩ゴールまで	REASON stone ACTION move VALUE 248 ACTION jump VALUE 126 ACTION move VALUE 413
stage3 穴の向こうまで跳んで	REASON hole ACTION move VALUE 45 ACTION jump VALUE 118 ACTION move VALUE 198
stage1 まず244進んで、136でジャンプして、その後349進んで	REASON stone ACTION move VALUE 244 ACTION jump VALUE 136 ACTION move VALUE 349
stage1 233移動してから高さ50でジャンプし、396移動して	REASON stone ACTION move VALUE 233 ACTION jump VALUE 50 ACTION move VALUE 396
stage3 212歩走って52でとんで317歩すすむ	REASON hole ACTION move VALUE 212 ACTION jump VALUE 52 ACTION move VALUE 317
stage3 穴をジャンプして越えて	REASON hole ACTION move VALUE 240 ACTION jump VALUE 83 ACTION move VALUE 127
stage1 高くジャンプして石を越えてゴール	REASON stone ACTION move VALUE 71 ACTION jump VALUE 2 ACTION move VALUE 73
stage3 205歩走って6でとんで415歩すすむ	REASON hole ACTION move VALUE 205 ACTION jump VALUE 6 ACTION move VALUE 415
stage1 236歩走って高さ54でとんで358歩進む	REASON stone ACTION move VALUE 236 ACTION jump VALUE 54 ACTION move VALUE 358
stage2 1つ目の岩まで108進んで179でジャンプ、2つ目まで71進んで119でジャンプして275進んで	REASON stone ACTION move VALUE 108 ACTION jump VALUE 179 ACTION move VALUE 71 ACTION jump VALUE 119 ACTION move VALUE 275
stage1 296歩走って110高さで跳んで401歩進む	REASON stone ACTION move VALUE 296 ACTION jump VALUE 110 ACTION move VALUE 401
stage3 233進んで高さ172でジャンプして340進む	REASON hole ACTION move VALUE 233 ACTION jump VALUE 172 ACTION move VALUE 340
stage1 309歩走って72高さで跳んで261歩進む	REASON stone ACTION move VALUE 309 ACTION jump VALUE 72 ACTION move VALUE 261
stage1 少し走ってから跳んで	REASON stone ACTION move VALUE 59 ACTION jump VALUE 12 ACTION move VALUE 127
stage1 ちょうど228進んでから58でジャンプして392進んでね	REASON stone ACTION move VALUE 228 ACTION jump VALUE 58 ACTION move VALUE 392
stage1 1個の岩を230進んで105ジャンプして357進んで越える	REASON stone ACTION move VALUE 230 ACTION jump VALUE 105 ACTION move VALUE 357
stage2 131移動して124ジャンプ、60移動して127ジャンプ、最後に300移動	REASON stone ACTION move VALUE 131 ACTION jump VALUE 124 ACTION move VALUE 60 ACTION jump VALUE 127 ACTION move VALUE 300
stage3 穴をジャンプして越えて	REASON hole ACTION move VALUE 214 ACTION jump VALUE 24 ACTION move VALUE 184
stage3 204移動して96ジャンプ、着地後438移動	REASON hole ACTION move VALUE 204 ACTION jump VALUE 96 ACTION move VALUE 438
stage1 ちょうど250進んでから166でジャンプして366進んでね	REASON stone ACTION move VALUE 250 ACTION jump VALUE 166 ACTION move VALUE 366
stage3 203歩進んで126の高さで穴を跳び越えて477歩進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 126 ACTION move VALUE 477
stage3 209歩進んで158の高さでジャンプして27歩	REASON hole ACTION move VALUE 209 ACTION jump VALUE 158 ACTION move VALUE 27
stage1 まず243進んで、89でジャンプして、その後427進んで	REASON stone ACTION move VALUE 243 ACTION jump VALUE 89 ACTION move VALUE 427
stage2 1つ目の岩まで151進んで104でジャンプ、2つ目まで91進んで69でジャンプして167進んで	REASON stone ACTION move VALUE 151 ACTION jump VALUE 104 ACTION move VALUE 91 ACTION jump VALUE 69 ACTION move VALUE 167
stage3 207歩進んで167の高さで穴を跳び越えて394歩進む	REASON hole ACTION move VALUE 207 ACTION jump VALUE 167 ACTION move VALUE 394
stage1 235進んで高さ90でジャンプしてから440進んで	REASON stone ACTION move VALUE 235 ACTION jump VALUE 90 ACTION move VALUE 440
stage1 249進んで高さ130でジャンプしてから358進んで	REASON stone ACTION move VALUE 249 ACTION jump VALUE 130 ACTION move VALUE 358
stage2 119歩進んで高さ151でジャンプ、続けて65進んで171でジャンプして278進む	REASON stone ACTION move VALUE 119 ACTION jump VALUE 151 ACTION move VALUE 65 ACTION jump VALUE 171 ACTION move VALUE 278
stage3 322進んで高さ170でジャンプして195進む	REASON hole ACTION move VALUE 322 ACTION jump VALUE 170 ACTION move VALUE 195
stage3 スタートから202進んで高さ73でジャンプして381進んでゴール	REASON hole ACTION move VALUE 202 ACTION jump VALUE 73 ACTION move VALUE 381
stage1 岩の手前まで238進んで100ジャンプして433歩ゴールまで	REASON stone ACTION move VALUE 238 ACTION jump VALUE 100 ACTION move VALUE 433
stage1 225歩進んで高さ171でジャンプして172進む	REASON stone ACTION move VALUE 225 ACTION jump VALUE 171 ACTION move VALUE 172
